City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,bodaybo,57.8506,114.1933,3.33,70,100,4.38,RU,1714202953
311,vila velha,-20.3297,-40.2925,24.25,72,88,1.28,BR,1714202953
312,valverde del camino,37.5751,-6.7543,11.11,80,0,2.96,ES,1714202954
313,arrifes,37.7667,-25.7,13.28,61,84,6.71,PT,1714202954
314,maralal,1.0968,36.698,19.6,69,90,0.76,KE,1714202955
315,jonesboro,35.8423,-90.7043,20.07,82,100,9.31,US,1714202955
316,huarmey,-10.0681,-78.1522,20.38,88,91,2.73,PE,1714202956
317,ortigueira,-24.2083,-50.9494,17.34,95,1,1.4,BR,1714202957
318,kodiak,57.79,-152.4072,3.55,95,100,7.77,US,1714202957
319,kidal,18.4411,1.4078,30.59,10,0,4.58,ML,1714202958
320,qamdo,31.1667,97.2333,10.82,23,47,1.44,CN,1714202958
321,glendive,47.1053,-104.7125,9.6,84,60,2.4,US,1714202959
322,papao,-17.75,-149.55,27.32,83,19,10.71,PF,1714202959
323,askoy,60.4092,5.226,5.66,66,94,1.02,NO,1714202960
324,kisangani,0.5167,25.2,27.23,76,91,1.55,CD,1714202960
325,alice springs,-23.7,133.8833,21.32,22,100,4.64,AU,1714202961
326,piney green,34.716,-77.3202,12.64,95,9,2.38,US,1714202962
327,turuntayevo,52.2,107.6167,8.09,39,100,4.79,RU,1714202962
328,greymouth,-42.4667,171.2,10.0,85,100,1.81,NZ,1714202963
329,dumaguete,9.3103,123.3081,31.14,66,100,3.62,PH,1714202964
330,thunder bay,48.4001,-89.3168,3.43,97,100,3.94,CA,1714202891
331,luwuk,-0.9516,122.7875,27.09,84,100,2.01,ID,1714202965
332,saint-leu,-21.15,55.2833,26.43,76,29,1.95,RE,1714202965
333,ceerigaabo,10.6162,47.368,22.31,52,86,0.98,SO,1714202966
334,yuzhno-sukhokumsk,44.6581,45.6436,25.95,24,6,11.62,RU,1714202966
335,yamba,-5.9,22.3,22.45,91,100,2.75,CD,1714202967
336,howard springs,-12.497,131.047,33.71,34,12,3.79,AU,1714202967
337,northam,51.0333,-4.2167,6.32,91,100,6.3,GB,1714202968
338,touros,-5.1989,-35.4608,25.26,93,100,3.69,BR,1714202968
339,el jadid,33.2549,-8.506,16.15,80,29,5.19,MA,1714202969
